ModelName (ID),TrimName
Touareg (31706),Elegance
Touareg (31706),Black Edition
Touareg (31706),R
ID.3 (30275),Pure Essential
ID.3 (30275),GTX Performance
ID.3 (30275),Pro Essential
ID.3 (30275),Pro S Match
ID.3 (30275),Pro Match
ID.3 (30275),Pure Match
ID.3 (30275),Pro S Essential
ID.5 (30297),GTX Edition
ID.5 (30297),Match
ID.7 (30550),Pro S Match
ID.7 (30550),GTX 4MOTION
ID.7 (30550),Pro Match
Polo (30205),Life
Polo (30205),Match
Polo (30205),R-Line
Polo (30205),GTI
Polo (30205),Style
Polo (30205),Black Edition
ID.4 (30290),GTX Edition
ID.4 (30290),Match
New ID.7 Tourer (30560),GTX 4MOTION
New ID.7 Tourer (30560),Pro Match
New ID.7 Tourer (30560),Pro S Match
Golf Hatch (30602),R Black Edition
Golf Hatch (30602),R
Golf Hatch (30602),Life
Golf Hatch (30602),Match
Golf Hatch (30602),GTI Clubsport
Golf Hatch (30602),R-Line
Golf Hatch (30602),Style
Golf Hatch (30602),GTE
Golf Hatch (30602),GTI
Golf Hatch (30602),Black Edition
T-Roc Cabriolet (30372),Style
T-Roc Cabriolet (30372),R-Line
Tayron (31150),Match
Tayron (31150),Elegance
Tayron (31150),R-Line Edition
Tayron (31150),R-Line
Tayron (31150),Life
Taigo (30260),Life
Taigo (30260),Black Edition
Taigo (30260),Style
Taigo (30260),R-Line
Taigo (30260),Match
Touran (31005),SEL
Touran (31005),Match
Touran (31005),R-Line
Golf Estate (30652),R-Line
Golf Estate (30652),R
Golf Estate (30652),Life
Golf Estate (30652),Style
Passat (31355),Life
Passat (31355),R-Line
Passat (31355),Elegance
Tiguan Allspace (31160),R-Line
Tiguan Allspace (31160),Elegance
Tiguan Allspace (31160),Life
T-Cross (30251),R-Line
T-Cross (30251),Black Edition
T-Cross (30251),Style
T-Cross (30251),Match
T-Cross (30251),Life
T-Roc (30360),Match
T-Roc (30360),Life
T-Roc (30360),R
T-Roc (30360),R-Line
T-Roc (30360),Style
T-Roc (30360),Black Edition
T-Roc (30360),R Black Edition
Tiguan (31102),Life
Tiguan (31102),Black Edition
Tiguan (31102),Tiguan
Tiguan (31102),Match
Tiguan (31102),R-Line
Tiguan (31102),Elegance