"id","title","model_id"
"31706-elegance","Elegance","31706"
"31706-black-edition","Black Edition","31706"
"31706-r","R","31706"
"30275-pure-essential","Pure Essential","30275"
"30275-gtx-performance","GTX Performance","30275"
"30275-pro-essential","Pro Essential","30275"
"30275-pro-s-match","Pro S Match","30275"
"30275-pro-match","Pro Match","30275"
"30275-pure-match","Pure Match","30275"
"30275-pro-s-essential","Pro S Essential","30275"
"30297-gtx-edition","GTX Edition","30297"
"30297-match","Match","30297"
"30550-pro-s-match","Pro S Match","30550"
"30550-gtx-4motion","GTX 4MOTION","30550"
"30550-pro-match","Pro Match","30550"
"30205-life","Life","30205"
"30205-match","Match","30205"
"30205-r-line","R-Line","30205"
"30205-gti","GTI","30205"
"30205-style","Style","30205"
"30205-black-edition","Black Edition","30205"
"30290-gtx-edition","GTX Edition","30290"
"30290-match","Match","30290"
"30560-gtx-4motion","GTX 4MOTION","30560"
"30560-pro-match","Pro Match","30560"
"30560-pro-s-match","Pro S Match","30560"
"30602-r-black-edition","R Black Edition","30602"
"30602-r","R","30602"
"30602-life","Life","30602"
"30602-match","Match","30602"
"30602-gti-clubsport","GTI Clubsport","30602"
"30602-r-line","R-Line","30602"
"30602-style","Style","30602"
"30602-gte","GTE","30602"
"30602-gti","GTI","30602"
"30602-black-edition","Black Edition","30602"
"30372-style","Style","30372"
"30372-r-line","R-Line","30372"
"31150-match","Match","31150"
"31150-elegance","Elegance","31150"
"31150-r-line-edition","R-Line Edition","31150"
"31150-r-line","R-Line","31150"
"31150-life","Life","31150"
"30260-life","Life","30260"
"30260-black-edition","Black Edition","30260"
"30260-style","Style","30260"
"30260-r-line","R-Line","30260"
"30260-match","Match","30260"
"31005-sel","SEL","31005"
"31005-match","Match","31005"
"31005-r-line","R-Line","31005"
"30652-r-line","R-Line","30652"
"30652-r","R","30652"
"30652-life","Life","30652"
"30652-style","Style","30652"
"31355-life","Life","31355"
"31355-r-line","R-Line","31355"
"31355-elegance","Elegance","31355"
"31160-r-line","R-Line","31160"
"31160-elegance","Elegance","31160"
"31160-life","Life","31160"
"30251-r-line","R-Line","30251"
"30251-black-edition","Black Edition","30251"
"30251-style","Style","30251"
"30251-match","Match","30251"
"30251-life","Life","30251"
"30360-match","Match","30360"
"30360-life","Life","30360"
"30360-r","R","30360"
"30360-r-line","R-Line","30360"
"30360-style","Style","30360"
"30360-black-edition","Black Edition","30360"
"30360-r-black-edition","R Black Edition","30360"
"31102-life","Life","31102"
"31102-black-edition","Black Edition","31102"
"31102-tiguan","Tiguan","31102"
"31102-match","Match","31102"
"31102-r-line","R-Line","31102"
"31102-elegance","Elegance","31102"